ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
yuk-1-1,,yuk,1,awɨ,awɨ,a w ɨ,,meira2005southern[180],,,^ a w ɨ $,default
yab-1-1,,yab,1,wɨrə,wɨrə,w ɨ r <<ə>>,,mattei2003pemono[49],,,^ w ɨ r <ə> $,default
wmr-1-1,,wmr,1,awɨ,awɨ,a w ɨ,,waimiribruno2003[77],,,^ a w ɨ $,default
way-1-1,,way,1,ɨwu,ɨwu,ɨ w u,,camargo2010wayana[44],,,^ ɨ w u $,default
wai-1-1,,wai,1,owɨ,owɨ,o w ɨ,,hawkins2015dictionary,,,^ o w ɨ $,default
tri-1-1,,tri,1,wɨɨ,wɨɨ,w ɨ ɨ,,triomeira1999[152],,,^ w ɨ ɨ $,default
map-1-1,,map,1,wɨhɨ,wɨhɨ,w ɨ <<h>> ɨ,,mattei2003pemono[48],,,^ w ɨ <h> ɨ $,default
mak-1-1,,mak,1,ewɨ,ewɨ,e w ɨ,,maquiritaricaceres2011[439],,,^ e w ɨ $,default
kax-1-1,,kax,1,owɨ,owɨ,o w ɨ,,schuring2018kaxuyana[94],,,^ o w ɨ $,default
kar-1-1,,kar,1,awu,awu,a w u,,courtz2008carib[250],,,^ a w u $,default
car-1-1,,car,1,əwɨ,əwɨ,<<ə>> w ɨ,,robayo2000avance[174],,,^ <ə> w ɨ $,default
apa-1-1,,apa,1,ɨwɨ,ɨwɨ,ɨ w ɨ,,camargo2002lexico[11],,,^ ɨ w ɨ $,default
aku-1-1,,aku,1,wɨ,wɨ,w ɨ,,meira1998proto[159],,,^ w ɨ $,default
tam-1-1,,tam,1,ure,ure,u r e,,gilij1784saggio[197],,,^ u r e $,default
pem-1-1,,pem,1,juurə,juurə,j u u r <<ə>>,,swiggers2010gramatica[120],,,^ j u u r <ə> $,default
pan-1-1,,pan,1,ju,ju,j u,,price2015dictionary,,,^ j u $,default
mac-1-1,,mac,1,uurɨ,uurɨ,u u r ɨ,,macushiabbott1991[99],,,^ u u r ɨ $,default
kui-1-1,,kui,1,uɣe,uɣe,u <<ɣ>> e,,kuikurodossantos2007[55],,,^ u <ɣ> e $,default
ing-1-1,,ing,1,urə,urə,u r <<ə>>,,cruz2005fonologia[161],,,^ u r <ə> $,default
ikp-1-1,,ikp,1,uro,uro,u r o,,meira2005southern[180],,,^ u r o $,default
hix-1-1,,hix,1,uro,uro,u r o,,meira2005southern[180],,,^ u r o $,default
bak-1-1,,bak,1,urə,urə,u r <<ə>>,,meira2003bakairi[2],,,^ u r <ə> $,default
ara-1-1,,ara,1,uro,uro,u r o,,desouza2010arara[87],,,^ u r o $,default
yuk-2-1,,yuk,2,amo,amo,a m o,,meira2005southern[180],,,^ a m o $,default
yab-2-1,,yab,2,mərə,mərə,m <<ə>> r <<ə>>,,mattei2003pemono[49],,,^ m <ə> r <ə> $,default
wmr-2-1,,wmr,2,amɨrɨ,amɨrɨ,a m ɨ r ɨ,,waimiribruno2003[77],,,^ a m ɨ r ɨ $,default
way-2-1,,way,2,əmərə,əmərə,<<ə>> m <<ə>> r <<ə>>,,wayanatavares2005[180],,,^ <ə> m <ə> r <ə> $,default
wai-2-1,,wai,2,amoro,amoro,a m o r o,,hawkins2015dictionary,,,^ a m o r o $,default
tri-2-1,,tri,2,əmə,əmə,<<ə>> m <<ə>>,,triomeira1999[152],,,^ <ə> m <ə> $,default
tam-2-1,,tam,2,amare,amare,a m a r e,,gilij1781saggio[124],,,^ a m a r e $,default
pem-2-1,,pem,2,amərə,amərə,a m <<ə>> r <<ə>>,,swiggers2010gramatica[120],,,^ a m <ə> r <ə> $,default
pan-2-1,,pan,2,amən,amən,a m <<ə>> n,,price2015dictionary,,,^ a m <ə> n $,default
map-2-1,,map,2,(m)ərə,ərə,<<ə>> r <<ə>>,,muller1975mapoyo[64],,,^ <ə> r <ə> $,default
mak-2-1,,mak,2,amərə,amərə,a m <<ə>> r <<ə>>,,maquiritaricaceres2011[434],,,^ a m <ə> r <ə> $,default
