ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
apa,Apalaí,,,,,,,
tri,Tiriyó,,,,,,,
hix,Hixkaryána,,,,,,,
pan,Panare,,,,,,,
mac,Macushi,,,,,,,
wmr,Waimiri-Atroari,,,,,,,
mak,Ye'kwana,,,,,,,
wai,Waiwai,,,,,,,
way,Wayana,,,,,,,
kar,Kari'ña,,,,,,,
ikp,Ikpeng,,,,,,,
ara,Arara,,,,,,,
ing,Ingarikó,,,,,,,
pem,Pemón,,,,,,,
kui,Kuikuro,,,,,,,
yuk,Yukpa,,,,,,,
car,Carijona,,,,,,,
bak,Bakairi,,,,,,,
tam,Tamanaku,,,,,,,
kax,Werikyana,,,,,,,
aku,Akuriyó,,,,,,,
aka,Akawaio,,,,,,,
map,Mapoyo,,,,,,,
yab,Yawarana,,,,,,,
