"ID","Name","Function","Description","Source"
12,"*k-","1+2",,"gildea1998[83]"
"12a","*kɨt-","1+2A",,"meira1998proto[109]"
"13pro","*(ap)ina","1+3PRO",,"meira2002first[263]"
"1a","*t-","1A",,"meira1998proto[109]"
"1p","*u-","1P",,"gildea1998[84]"
"1pro","*(ə)wɨ","1PRO","Some languages added the emphatic particle cogset:emp.","meira2010origin[489]"
"1sa","*w-","1SA",,"gildea1998[90]"
"2a","*m-","2A",,"gildea1998[82]"
"2p","*ə-","2P",,"gildea2010story[96]"
"3i","*i-",3,,"meira2010origin[489]"
"3n","*n-",3,,"gildea1998[84]"
"NA","Unknown",,,
"t","*t-","lexical 3",,"gildea2007greenberg[29]"
"3ky","*kɨ-","3PST",,"gildea1998[84--85]"
"uku","*uku-","1+2",,"meira2010origin[490]"
"refl","*e-","REFL",,"meira2010origin[513]"
"recp","*əte-","RECP",,"meira2010origin[513]"
"link","*j-","LK",,"gildea1998[88]"
"2pro","*əmə","2PRO","Some languages added the emphatic particle cogset:emp.","meira2010origin[489]"
"3m","*mə-","3?",,
"wnmlz","*w- (NMLZ)","NMLZ",,
"3pro","*(i)nərə","3PRO",,"meira2002first[268]"
"pek_1a","*ini-/j-","1>3",,
"cor","*t-","COR",,
"pnmlz","*n- (NMLZ)","NMLZ",,
"it","*it-","3POSS",,
"an","*an-",3,,
"emp","*rə","EMP",,
"sapo","*-tjapə","NMLZ",,"gildea1998[120]"
"topo","*-topo","NMLZ",,"gildea1998[120]"
"ne","*-ne","AGT.NMLZ",,"gildea1998[120]"
"sup","*-tjə","SUP",,"gildea2012[481]"
"ri","*-rɨ","NMLZ",,"gildea1998[120]"
"inf","*-nə","INF",,"gildea1998[135]"
"neg_adv","*-pɨra","NEG",,"gildea2016negation"
"neg_nom","*-pɨnɨ","NEG.NMLZ",,
"3a","*a-",3,"Appears in several languages in some inflections.",
"pek_12","*ko-","1>2","Possible connection to lg:wayana morph:way_1on2.",
