"Morpheme","Function","Construction","Complementary_Distribution","Comment"
"aku_1k","1S","aku_main",,
"aku_1t","1S","aku_main",,
"aku_1w","1S","aku_main",,
"aku_1a","1>3","aku_main",,
"aku_12","3>1+2; 1>2; 2>1; 1+2S","aku_main",,
"aku_2a","2>3","aku_main",,
"aku_2sa","2S","aku_main",,
"aku_12a","1+2>3","aku_main",,
"aku_12sa","1+2S","aku_main",,
"aku_3a","3>3","aku_main","y",
"aku_2p","3>2; 2S","aku_main",,
"aku_1p","3>1; 1S","aku_main",,
"aku_3s","3S","aku_main",,
"apa_12","1P","apa_imp",,
"apa_3i","3P","apa_imp","n",
"apa_t","3P","apa_imp",,
"apa_3","3>3; 3S","apa_main","y",
"apa_13pre; apa_3","1+3>3; 1+3S","apa_main",,
"apa_13pre","3>1+3","apa_main",,
"apa_12","3>1+2; 1>2; 2>1","apa_main; apa_rem",,
"apa_12a","1+2>3; 1+2S","apa_main; apa_rem",,
"apa_1a","1>3; 1S","apa_main; apa_rem",,
"apa_1p","3>1; 1S","apa_main; apa_rem","?",
"apa_2a","2>3; 2S","apa_main; apa_rem",,
"apa_2p","3>2; 2S","apa_main; apa_rem",,
"?","2>1+3","apa_main; apa_rem",,
"?","1+3>2","apa_main; apa_rem",,
"apa_3pst","3>3; 3S","apa_rem",,
"?","3>1+3","apa_rem",,
"apa_13pre; apa_3pst","1+3>3; 1+3S","apa_rem",,
"ara_12","1P","ara_imp",,
"ara_2p","2S","ara_imp",,
"ara_3i","3P","ara_imp","?",
"ara_t","3P","ara_imp","?",
"?","1+3>3; 1+3S","ara_int",,"likely ara_13pro and ara_3int"
"ara_3i","3S","ara_int",,
"ara_3int","3S; 3>3","ara_int",,
"ara_13pro; ara_3i","1+3S; 1+3>3","ara_main",,
"ara_13pro; ara_3zero","1+3S","ara_main",,
"ara_3i","3>3; 3S","ara_main","y",
"ara_3zero","3S","ara_main",,
"ara_t","3>3","ara_main","y",
"?","3>1+3; 1+3>2; 2>1+3","ara_main; ara_int; ara_rem",,
"ara_1on2","1>2","ara_main; ara_int; ara_rem; ara_old",,
"ara_12","1+2S; 2>1; 3>1+2","ara_main; ara_int; ara_rem; ara_old",,
"ara_12a","1+2>3","ara_main; ara_int; ara_rem; ara_old",,
"ara_12sa","1+2S","ara_main; ara_int; ara_rem; ara_old",,
"ara_1a","1>3","ara_main; ara_int; ara_rem; ara_old",,
"ara_1p","3>1; 1S","ara_main; ara_int; ara_rem; ara_old","?",
"ara_1sa","1S","ara_main; ara_int; ara_rem; ara_old",,
"ara_1sa1","1S","ara_main; ara_int; ara_rem; ara_old",,
"ara_2a","2>3","ara_main; ara_int; ara_rem; ara_old",,
"ara_2sa","2>3","ara_main; ara_int; ara_rem; ara_old",,"on t-adding verbs"
"ara_2p","3>2; 2S","ara_main; ara_int; ara_rem; ara_old",,
"ara_2sa","2S","ara_main; ara_int; ara_rem; ara_old",,
"ara_3ni","3>3","ara_old","?",
"ara_3n","3>3","ara_old","?",
"ara_3n","3S","ara_old",,"on t-adding verbs"
"ara_13pro; ara_3rem","1+3>3","ara_rem",,
"?","1+3S","ara_rem",,"likely ara_13pro and ara_3rem"
"ara_3rem","3S; 3>3","ara_rem",,
"bak_1a","1>3","bak_main",,
"bak_2a","2>3; 2S","bak_main",,
"bak_12a","1+2>3; 1+2S","bak_main",,
"bak_3n","3>3","bak_main","n",
"bak_3n","3S","bak_main",,
"bak_2p","1>2; 3>2; 2S","bak_main; bak_new",,
"bak_1p","2>1; 3>1; 1S","bak_main; bak_new",,
"bak_12","3>1+2; 1S; 1+2S","bak_main; bak_new",,
"bak_1sa","1S","bak_main; bak_new",,
"bak_1new","1>3","bak_new",,
"bak_2new","2>3","bak_new",,
"bak_12new","1+2>3","bak_new",,
"bak_3inew","3>3","bak_new",,
"bak_3i","3S","bak_new",,
"bak_12a","1+2S","bak_new",,
"bak_2a","2S","bak_new",,
"car_1p","1S; 3>1","car_main",,
"car_2a","2S; 2>3","car_main",,
"car_12a","1+2S; 1+2>3","car_main",,
"car_12p","1+2S; 2>1; 1>2; 3>1+2","car_main",,
"car_3n","3S; 3>3","car_main","y",
"car_1a","1>3","car_main",,
"car_2p","3>2","car_main",,
"car_1w","1S","car_main",,
"hix_2p","2S","hix_imp",,
"hix_3i","3P","hix_imp",,
"hix_t","3P","hix_imp",,
"?","1P","hix_imp",,
"hix_12","3>1+2","hix_main",,
"hix_1pro; hix_2a","2>1","hix_main",,
"hix_12a","1+2>3","hix_main",,
"hix_12sa","1+2S","hix_main",,
"?","2>1+3","hix_main",,
"hix_13pro; hix_2p","1+3>2","hix_main",,
"hix_13pro; hix_3","1+3>3; 1+3S","hix_main",,
"hix_13pro; hix_3sa","1+3S","hix_main",,
"hix_13pro; hix_lk; ?","3>1+3","hix_main",,
"hix_1a","1>3; 1S","hix_main",,
"hix_1p","3>1","hix_main",,
"hix_1s","1S; 1>2","hix_main",,
"hix_2a","2>3","hix_main",,
"hix_2p","3>2; 2S","hix_main",,
"hix_2sa","2S","hix_main",,
"hix_3","3S","hix_main",,
"hix_3sa","3S","hix_main",,
"hix_3","3>3","hix_main","y",
"hix_1p","1S; 1P","hix_nmlz",,
"hix_2p","2S; 2P","hix_nmlz",,
"hix_3i","3P","hix_nmlz","y",
"ikp_2p","2S","ikp_imp",,
"ikp_3p","3P","ikp_imp","?",
"ikp_1on2","1>2","ikp_main",,
"ikp_12","1+2S; 2>1; 3>1+2","ikp_main",,
"ikp_12a","1+2>3; 1+2S","ikp_main",,
"ikp_13pro; ikp_3p","1+3>3","ikp_main",,
"ikp_13pro; ikp_t","1+3>3","ikp_main",,
"?","3>1+3","ikp_main",,
"ikp_13pro; ikp_2a","2>1+3","ikp_main",,
"ikp_13pro; ikp_2p","1+3>2","ikp_main",,
"ikp_13pro","1+3S","ikp_main",,
"ikp_1a","1>3","ikp_main",,
"ikp_1p","3>1; 1S","ikp_main",,
"ikp_1sa","1S","ikp_main",,
"ikp_2a","2>3","ikp_main",,
"ikp_2p","3>2; 2S","ikp_main",,
"ikp_2sa","2S","ikp_main",,
"ikp_3sp","3S","ikp_main",,
"ikp_3sa","3S","ikp_main",,
"ikp_t","3>3","ikp_main","n",
"ikp_1sa_old","1S","ikp_main",,
"ikp_3p","3>3","ikp_main",,
"ing_12","1P","ing_imp",,
"ing_3ana","3P","ing_imp",,
"ing_3imp","3P","ing_imp","?",
"ing_3an","3P","ing_imp","n",
"ing_12","1+2P","ing_new",,
"ing_12w","1+2S","ing_new",,
"ing_1w","1S","ing_new",,
"ing_2p","2P","ing_new",,
"ing_2w","2S","ing_new",,
"ing_3i","3P","ing_new","y",
"ing_3iw","3S","ing_new","y",
"ing_1p","1P","ing_new; ing_imp",,
