"Language_ID","Swadesh_Nr","Feature_ID","Value","Cognateset_ID","Source","Comment","Full_Form"
"kax",1,"I","owɨ",1,"schuring2018kaxuyana[94]",,
"hix",1,"I","uro",1,"hixkaryanaderby1979[196]",,
"wai",1,"I","owɨ",1,"hawkins2015dictionary",,
"ara",1,"I","uro",1,"desouza2010arara[87]",,
"ikp",1,"I","uro",1,"ikpengpacheco2001[119]",,
"bak",1,"I","urə",1,"meira2005southern[180]",,
"tri",1,"I","wɨ",1,"meira2005southern[180]",,
"aku",1,"I","wɨ",1,"meira1998proto[159]",,
"car",1,"I","əwɨ",1,"robayo2000avance[174]",,
"way",1,"I","ɨwu",1,"camargo2010wayana[44]",,
"apa",1,"I","ɨwɨ",1,"camargo2002lexico[11]",,
"kar",1,"I","awu",1,"courtz2008carib[250]",,
"mak",1,"I","ewɨ",1,"maquiritaricaceres2011[439]",,
"ing",1,"I","urə",1,"cruz2005fonologia[161]",,
"pem",1,"I","juurə",1,"swiggers2010gramatica[120]",,
"mac",1,"I","uurɨ",1,"macushiabbott1991[99]",,
"pan",1,"I","ju",1,"panarepayne2013[88]",,
"tam",1,"I","ure",1,"gilij1784saggio[197]",,
"yab",1,"I","wɨrə",1,"mattei2003pemono[49]",,
"map",1,"I","wɨhɨ",1,"mattei2003pemono[48]","Additional material unclear.",
"kui",1,"I","uɣe",1,"meira2005southern[180]",,
"yuk",1,"I","awɨ",1,"meira2005southern[180]",,
"wmr",1,"I","awɨ",1,"waimiribruno2003[77]",,
"aka",1,"I","urə",1,"akawaiocaesar2003[106]",,
"kax",2,"you","omoro",1,"schuring2018kaxuyana[94]",,
"hix",2,"you","omoro",1,"hixkaryanaderby1979[198]",,
"wai",2,"you","amoro",1,"hawkins2015dictionary",,
"ara",2,"you","omro",1,"alves2017arara[111]",,
"ikp",2,"you","omro",1,"ikpengpacheco2001[119]",,
"bak",2,"you","əmə",1,"meira2005southern[180]",,
"tri",2,"you","əmə",1,"meira2005southern[180]",,
"aku",2,"you","əmə",1,"meira1998proto[159]",,
"car",2,"you","əmərə",1,"robayo2000avance[174]",,
"way",2,"you","əmərə",1,"wayanatavares2005[180]",,
"apa",2,"you","omoro",1,"camargo2002lexico[11]",,
"kar",2,"you","amoro",1,"courtz2008carib[224]",,
"mak",2,"you","amərə",1,"maquiritaricaceres2011[434]",,
"ing",2,"you","amərə",1,"cruz2005fonologia[162]",,
"pem",2,"you","amərə",1,"swiggers2010gramatica[120]",,
"mac",2,"you","amɨrɨ",1,"macushiabbott1991[99]",,
"pan",2,"you","amən",1,"panarepayne2013[88]",,
"tam",2,"you","amare",1,"gilij1781saggio[124]",,
"yab",2,"you","mərə",1,"mattei2003pemono[49]",,
"map",2,"you","(m)ərə",1,"muller1975mapoyo[64]",,
"kui",2,"you","eeɣe",1,"meira2005southern[180]",,
"yuk",2,"you","amo",1,"meira2005southern[180]",,
"wmr",2,"you","amɨrɨ",1,"waimiribruno2003[77]",,
"aka",2,"you","amərə",1,"akawaiocaesar2003[107]",,
"kax",3,"we","amna",1,"schuring2018kaxuyana[94]",,
"hix",3,"we","amna",1,"hixkaryanaderby1979[198]",,
"wai",3,"we","amna",1,"hawkins2015dictionary",,
"tri",3,"we","anja",1,"meira2005southern[180]",,
"aku",3,"we","anja",1,"meira1998proto[159]",,
"car",3,"we","aɲa",1,"robayo2000avance[174]",,
"way",3,"we","emna",1,"wayanatavares2005[180]",,
"apa",3,"we","ɨna",1,"camargo2002lexico[11]",,
"kar",3,"we","naʔna",1,"courtz2008carib[323]",,
"mak",3,"we","nɲa",1,"maquiritaricaceres2011[446]",,
"ing",3,"we","ina",1,"cruz2005fonologia[162]",,
"pem",3,"we","inna",1,"swiggers2010gramatica[120]",,
"mac",3,"we","anna",1,"macushiabbott1991[99]",,
"pan",3,"we","ana",1,"panarepayne2013[88]",,
"yab",3,"we","ana",1,"mattei2003pemono[49]",,
"map",3,"we","naha",1,"mattei2003pemono[48]",,
"yuk",3,"we","nana",1,"meira2005southern[180]",,
"wmr",3,"we","aʔa",1,"waimiribruno2003[77]",,
