"ID","Cognateset_ID","Language_ID","Form","Meaning","Source","t?","Comment"
1,1,"enap1235","uku","eat (soft)","panarepayne2013[99]","n",
2,1,"hixk1239","okɨ","eat (bread)","hixkaryanaderby1985[193]","y",
3,1,"ikpe1245","agu","eat","ikpengpacheco2001[155]","y","obj:t-ogu, but otherwise obj:Ø-agu with same meaning"
4,1,"kuik1246","eku","eat (vegetable)","franchetto2010ergativity[128]","y",
5,1,"macu1259","(j)aku","eat (bread)","macushiabbott1991[35]","n","unclear segmentation"
6,1,"maqu1238","oku","eat (starch)","maquiritaricaceres2011[127]","y",
7,1,"trio1238","ə(ku)","eat (flour)","triomeira1999[234]","y",
8,1,"waiw1244","oh","eat (bread)","waiwaihawkins1998[192]","y",
9,1,"waya1269","ək(u)","eat bread; have sex","wayanatavares2005[199]","y",
10,1,"gali1262","eku","fornicate","courtz2008carib[253]","n",
11,2,"enap1235","ɨnə","eat (meat); bite","panarepayne2013[99]","n",
12,2,"gali1262","ono","eat (meat)","courtz2008carib[330]","n",
13,2,"hixk1239","ono","eat (meat)","hixkaryanaderby1979[150]","y",
14,2,"inga1250","anɨ","eat (meat)","cruz2005fonologia[132]","n",
15,2,"kuik1246","eŋe","eat (meat)","franchetto1986kuikuro[180]","y",
16,2,"macu1259","anɨ","eat","macushiabbott1991[134]","n","Shows obj:j-, but unclear anyways!"
17,2,"maqu1238","ənə","eat (meat)","maquiritaricaceres2011[127]","y",
18,2,"trio1238","ənə","eat (meat)","triomeira1999[234]","y",
20,2,"waiw1244","ono","eat (meat)","waiwaihawkins1998[192]","y",
21,2,"waya1269","ə","eat meat","wayanatavares2005[199]","y",
22,3,"apal1257","ou","take out","camargo2002lexico[73]","y",
23,3,"hixk1239","owɨ","take away","hixkaryanaderby1979[150]","y",
24,3,"trio1238","əu","take out","triomeira1999[234]","y",
25,3,"waiw1244","ow","take out","waiwaihawkins1998[192]","y",
26,4,"gali1262","uro","blow at, fan","courtz2008carib[415]","n",
27,4,"kuik1246","uɣi","blow; smoke","franchetto1986kuikurotexts[14]","?",
28,4,"waya1269","urə","lit","camargo2010wayana[49]","n",
29,4,"trio1238","urə","light (fire)","triomeira1999[234]","y",
30,5,"enap1235","ɨkapɨ","weave","panarepayne2013[228]","n","Not sure if it should be obj:kapɨ."
31,5,"hixk1239","kahɨ","make","hixkaryanaderby1985[182]","n","Not the default verb for 'to make'. Probably doesn't take obj:t-."
32,5,"gali1262","kapɨ","make; braid","courtz2008carib[291]","n",
33,5,"apal1257","kaʔ","weave basket","camargo2002lexico[53]","y","Also attested with obj:i- psrc:koehn1995apalai[16]"
34,5,"inga1250","kapə","weave","cruz2005fonologia[396]","?",
35,5,"macu1259","kapɨ","weave","macushicarson1982[90]","n","Does not show obj:i- ex:mac-53"
36,5,"maqu1238","kahɨ","weave","maquiritaricaceres2011[127]","y",
37,5,"para1310","ɨgabɨ","weave","alves2017arara[156]","y",
38,5,"trio1238","ka(pɨ)","weave","triomeira1999[234]","y",
39,5,"waya1269","kap(ɨ)","weave","wayanatavares2005[199]","y",
40,5,"waiw1244","kaɸu","weave","hawkins2015dictionary","n",
41,6,"apal1257","ɨʔ","grate","koehn1995apalai[57]","y","obj:ɨʔnõko ‘weaving’, also obj:tɨʔnõko."
42,6,"gali1262","kɨ","rasp","courtz2008carib[309]","n",
43,6,"kuik1246","ki","grate","kuikurodossantos2007[241]","y",
44,6,"maqu1238","(ɨ)kɨ","grate manioc","maquiritaricaceres2011[127]","y","Ambiguous whether it is obj:ɨkɨ or obj:kɨ."
45,6,"para1310","ɨgɨ","grate","alves2017arara[156]","y",
46,6,"trio1238","(ɨ)kɨ","grate","triomeira1999[234]","y","Ambiguous whether it is obj:ɨkɨ or obj:kɨ."
47,6,"waiw1244","ih; k","grate","waiwaihawkins1998[192]","y",
48,6,"waya1269","ɨkɨ","grate","wayanatavares2005[199]","y",
49,7,"maqu1238","haho","kill humans, spill, take out (trash)","maquiritaricaceres2011[127]","y",
50,7,"trio1238","papo","throw out (waste)","triomeira1999[234]","y",
51,7,"gali1262","papɨ","strew; sprinkle","courtz2008carib[337]","n",
52,7,"apal1257","paʔ","throw (out)","camargo2002lexico[74]","n","shows obj:i-"
53,8,"maqu1238","hətɨ","collect fruit","maquiritaricaceres2011[127]","y",
54,8,"trio1238","pə(tɨ)","gather (fruit)","triomeira1999[234]","y",
55,8,"waya1269","upətɨ","pick fruit","wayanatavares2005[446]","?","Only example with -Ø, of which no other examples with t- occur…"
56,8,"gali1262","potɨ","pick","courtz2008carib[351]","n",
57,8,"hixk1239","hoht","pick (fruit)","hixkaryanaderby1985[67]","n","Uncertain form; only occurs in non-segmented example. Likely does not take obj:t-."
58,9,"enap1235","ɨpɨ","bathe","panarepayne2013[244]","n",
59,9,"hixk1239","ɨhɨ","bathe","hixkaryanaderby1979[150]","y",
60,9,"macu1259","pɨ","bathe","macushicarson1982[21]","n",
61,9,"inga1250","pɨnə","bathe","cruz2005fonologia[262]","n",
62,9,"ikpe1245","ip","bathe","alves2013verbo[202]","y",
63,9,"maqu1238","hɨ","wash","maquiritaricaceres2011[127]","y",
64,9,"para1310","ɨbɨ","bathe","alves2017arara[156]","y",
65,9,"trio1238","pɨ","bathe","triomeira1999[234]","y",
66,9,"waiw1244","pɨ","bathe","waiwaihawkins1998[192]","y",
67,9,"waya1269","upɨ","bathe","wayanatavares2005[192]","?","No example in the right context found."
68,10,"apal1257","ri","do, make","koehn1986apalai[58]","y",
69,10,"hixk1239","e(rʲe)","do; fix; put down","hixkaryanaderby1985[192]","y","Has obj:t͡ʃ-, probably because of the /e/."
70,10,"maqu1238","ɨrɨ","do; put; bless; dominate","maquiritaricaceres2011[127]","y","Also occurs without obj:tɨ- psrc:maquiritaricaceres2011[145]."
71,10,"trio1238","rɨ","do, make; put","triomeira1999[700]","y",
72,10,"waiw1244","irʲ","put; fix; make","waiwaihawkins1998[192]","y",
73,10,"waya1269","ɨrɨ","make; put","wayanatavares2005[199]","y",
74,40,"enap1235","utu","give","panarepayne2013[327]","n","Unclear if cognate."
75,10,"macu1259","ɨ(r)ɨ","give; put; let","macushiabbott1991[87]","y","Always with /t/."
77,10,"gali1262","ɨrɨ","give; put","courtz2008carib[438]","n",
