ID,Source,Comment,Orig_Comment
mattei,mattei2002busca,,* indicates that the position of these languages is hypothetical and yet needs to be confirmed.
meira,meira2006cariban,,
meira2,meira2006familia,,
durbin,durbin1977carib,,
gildea,gildea2012classification,,
gildea2005,gildea2005encyclo,,Everything below Paravilyana is in search of a branch.
girard,girard1971proto,Unreliable.,I here indicate tentative classifications with a ?
glottolog,glottolog,,
kaufman,kaufman1994native,,% indicates extinct languages.
kaufman2,kaufman2007native,Age is estimated at 3700 years.,
